"","city.name","species","diameter","height","climate"
"171","Belfast","Fagus sylvatica",40,13,"Cfb"
"172","Belfast","Quercus robur",63,17,"Cfb"
"173","Belfast","Quercus robur",73,25,"Cfb"
"174","Belfast","Quercus robur",66,16,"Cfb"
"175","Belfast","Aesculus hippocastanum",78,26,"Cfb"
"176","Belfast","Fagus sylvatica",118,29,"Cfb"
"177","Belfast","Fagus sylvatica",55,27,"Cfb"
"178","Belfast","Pinus sylvestris",36,25,"Cfb"
"179","Belfast","Fagus sylvatica",75,24,"Cfb"
"180","Belfast","Pinus sylvestris",57,18,"Cfb"
"181","Belfast","Quercus robur",63,20,"Cfb"
"182","Belfast","Quercus robur",98,23,"Cfb"
"183","Belfast","Quercus robur",96,25,"Cfb"
"184","Belfast","Acer pseudoplatanus",40,17,"Cfb"
"185","Belfast","Aesculus hippocastanum",56,13,"Cfb"
"186","Belfast","Fagus sylvatica",132,26,"Cfb"
"187","Belfast","Fagus sylvatica",105,25,"Cfb"
"188","Belfast","Acer pseudoplatanus",99,25,"Cfb"
"189","Belfast","Pinus sylvestris",39,14,"Cfb"
"190","Belfast","Pinus sylvestris",45,20,"Cfb"
"191","Belfast","Fagus sylvatica",92,24,"Cfb"
"192","Belfast","Pinus sylvestris",58,22,"Cfb"
"193","Belfast","Fraxinus excelsior",48,24,"Cfb"
"194","Belfast","Quercus robur",75,17,"Cfb"
"195","Belfast","Quercus robur",61,14,"Cfb"
"196","Belfast","Fagus sylvatica",94,27,"Cfb"
"197","Belfast","Larix decidua",52,27,"Cfb"
"198","Belfast","Acer pseudoplatanus",49,23,"Cfb"
"199","Belfast","Pinus nigra",81,26,"Cfb"
"200","Belfast","Aesculus hippocastanum",77,23,"Cfb"
"201","Belfast","Aesculus hippocastanum",89,22,"Cfb"
"202","Belfast","Aesculus hippocastanum",88,23,"Cfb"
"203","Belfast","Aesculus hippocastanum",41,17,"Cfb"
"204","Belfast","Fagus sylvatica",80,20,"Cfb"
"205","Belfast","Aesculus hippocastanum",70,23,"Cfb"
"206","Belfast","Aesculus hippocastanum",92,23,"Cfb"
"207","Belfast","Fagus sylvatica",100,27,"Cfb"
"208","Belfast","Fagus sylvatica",63,27,"Cfb"
"209","Belfast","Fagus sylvatica",93,27,"Cfb"
"210","Belfast","Fagus sylvatica",91,27,"Cfb"
"211","Belfast","Larix decidua",85,28,"Cfb"
"212","Belfast","Larix decidua",75,25,"Cfb"
"213","Belfast","Aesculus hippocastanum",66,20,"Cfb"
"214","Belfast","Fagus sylvatica",90,26,"Cfb"
"215","Belfast","Fagus sylvatica",78,25,"Cfb"
"216","Belfast","Acer pseudoplatanus",70,26,"Cfb"
"217","Belfast","Acer pseudoplatanus",115,25,"Cfb"
"218","Belfast","Prunus 'Amanogawa'",30,5,"Cfb"
"219","Belfast","Prunus (type)",29,9,"Cfb"
"220","Belfast","Fagus sylvatica",67,24,"Cfb"
"221","Belfast","Quercus robur",118,20,"Cfb"
"222","Belfast","Larix decidua",50,26,"Cfb"
"223","Belfast","Alnus glutinosa",105,13,"Cfb"
"224","Belfast","Betula pendula",29,13,"Cfb"
"225","Belfast","Pinus sylvestris",59,25,"Cfb"
"226","Belfast","Pinus sylvestris",65,25,"Cfb"
"227","Belfast","Tilla x europaea",64,15,"Cfb"
"228","Belfast","Prunus (type)",40,14,"Cfb"
"229","Belfast","Pinus sylvestris",56,25,"Cfb"
"230","Belfast","Pinus (type)",50,10,"Cfb"
"231","Belfast","Picea abies",67,27,"Cfb"
"232","Belfast","Pinus nigra",65,25,"Cfb"
"233","Belfast","Quercus robur",49,13,"Cfb"
"234","Belfast","Pinus nigra",48,26,"Cfb"
"235","Belfast","Pinus nigra",60,25,"Cfb"
"236","Belfast","Pinus nigra",42,11,"Cfb"
"237","Belfast","Cupressocyparis leylandii",75,15,"Cfb"
"238","Belfast","Abies(type)",68,24,"Cfb"
"239","Belfast","Acer pseudoplatanus",34,12,"Cfb"
"240","Belfast","Tilla x europaea",54,16,"Cfb"
"241","Belfast","Fraxinus excelsior",90,16,"Cfb"
"242","Belfast","Aesculus hippocastanum",93,17,"Cfb"
"243","Belfast","Larix decidua",87,19,"Cfb"
"244","Belfast","Fraxinus excelsior",52,20,"Cfb"
"245","Belfast","Tilla x europaea",48,14,"Cfb"
"246","Belfast","Tilla x europaea",51,14,"Cfb"
"247","Belfast","Quercus petraea",145,20,"Cfb"
"248","Belfast","Quercus robur",80,23,"Cfb"
"249","Belfast","Quercus robur",91,17,"Cfb"
"250","Belfast","Quercus robur",103,19,"Cfb"
"251","Belfast","Fagus sylvatica",154,25,"Cfb"
"252","Belfast","Acer pseudoplatanus",70,20,"Cfb"
"253","Belfast","Fagus sylvatica",109,25,"Cfb"
"254","Belfast","Fagus sylvatica",107,25,"Cfb"
"255","Belfast","Fagus sylvatica",71,16,"Cfb"
"256","Belfast","Fagus sylvatica",131,24,"Cfb"
"257","Belfast","Fraxinus excelsior",78,20,"Cfb"
"258","Belfast","Fagus sylvatica",84,19,"Cfb"
"259","Belfast","Fagus sylvatica",101,24,"Cfb"
"260","Belfast","Fagus sylvatica",99,24,"Cfb"
"261","Belfast","Fagus sylvatica",101,24,"Cfb"
"262","Belfast","Fagus sylvatica",81,25,"Cfb"
"263","Belfast","Fagus sylvatica",105,27,"Cfb"
"264","Belfast","Fagus sylvatica",131,25,"Cfb"
"265","Belfast","Fagus sylvatica",102,25,"Cfb"
"266","Belfast","Fagus sylvatica",124,24,"Cfb"
"267","Belfast","Fagus sylvatica",70,25,"Cfb"
"268","Belfast","Fagus sylvatica",89,26,"Cfb"
"269","Belfast","Fagus sylvatica",67,22,"Cfb"
"270","Belfast","Tilla x europaea",-59,12,"Cfb"
"271","Belfast","Acer pseudoplatanus",66,23,"Cfb"
"272","Belfast","Acer pseudoplatanus",70,23,"Cfb"
"273","Belfast","Acer pseudoplatanus",77,23,"Cfb"
"274","Belfast","Acer platanoides",61,25,"Cfb"
"275","Belfast","Fraxinus excelsior",33,19,"Cfb"
"276","Belfast","Cotoneaster type",-29,7,"Cfb"
"277","Belfast","Cotoneaster type",20,7,"Cfb"
"278","Belfast","Cupressus macrocarpa",-172,26,"Cfb"
"279","Belfast","Acer saccharinum (Silver)",42,17,"Cfb"
"280","Belfast","Fagus sylvatica",72,21,"Cfb"
"281","Belfast","Pinus sylvestris",46,23,"Cfb"
"282","Belfast","Fagus sylvatica",81,24,"Cfb"
"283","Belfast","Pinus nigra",101,27,"Cfb"
"284","Belfast","Lodgepole Pine",113,26,"Cfb"
"285","Belfast","Fraxinus excelsior",94,25,"Cfb"
"286","Belfast","Acer pseudoplatanus",38,12,"Cfb"
"287","Belfast","Fagus sylvatica",79,20,"Cfb"
"288","Belfast","Betula pubescens",49,15,"Cfb"
"289","Belfast","Fagus sylvatica",77,15,"Cfb"
"290","Belfast","Aesculus hippocastanum",64,16,"Cfb"
"291","Belfast","Aesculus hippocastanum",53,14,"Cfb"
"292","Belfast","Fagus sylvatica",121,25,"Cfb"
"293","Belfast","Fraxinus excelsior",97,18,"Cfb"
"294","Belfast","Aesculus hippocastanum",70,19,"Cfb"
"295","Belfast","Fagus sylvatica",61,14,"Cfb"
"296","Belfast","Aesculus hippocastanum",83,20,"Cfb"
"297","Belfast","Fraxinus excelsior",77,24,"Cfb"
"298","Belfast","Fraxinus excelsior",93,23,"Cfb"
"299","Belfast","Aesculus hippocastanum",91,21,"Cfb"
"300","Belfast","Quercus cerris",78,28,"Cfb"
"301","Belfast","Cupressocyparis leylandii",245,27,"Cfb"
"302","Belfast","Sequoiadendron giganteum",168,46,"Cfb"
"303","Belfast","Acer pseudoplatanus",65,21,"Cfb"
"304","Belfast","Pinus sylvestris",65,18,"Cfb"
"305","Belfast","Fraxinus excelsior",118,27,"Cfb"
"306","Belfast","Quercus robur",77,20,"Cfb"
"307","Belfast","Quercus robur",69,24,"Cfb"
"308","Belfast","Pinus sylvestris",67,23,"Cfb"
"309","Belfast","Fraxinus excelsior",83,17,"Cfb"
"310","Belfast","Quercus (type)",141,20,"Cfb"
"311","Belfast","Pinus nigra (type)",40,16,"Cfb"
"312","Belfast","Aesculus hippocastanum",64,13,"Cfb"
"313","Belfast","Pinus sylvestris",44,23,"Cfb"
"314","Belfast","Aesculus hippocastanum",87,21,"Cfb"
"315","Belfast","Fraxinus excelsior",56,10,"Cfb"
"316","Belfast","Fraxinus excelsior",70,14,"Cfb"
"317","Belfast","Pinus nigra (type)",37,9,"Cfb"
"318","Belfast","Pinus sylvestris",60,24,"Cfb"
"319","Belfast","Pinus sylvestris",68,24,"Cfb"
"320","Belfast","Prunus padus",8,5,"Cfb"
"321","Belfast","Quercus robur",56,20,"Cfb"
"322","Belfast","Fraxinus excelsior",62,12,"Cfb"
"323","Belfast","Fagus sylvatica",52,25,"Cfb"
"324","Belfast","Acer pseudoplatanus",61,23,"Cfb"
"325","Belfast","Fagus sylvatica",104,27,"Cfb"
"326","Belfast","Acer pseudoplatanus",87,23,"Cfb"
"327","Belfast","Acer pseudoplatanus",71,18,"Cfb"
"328","Belfast","Salix (type)",41,18,"Cfb"
"329","Belfast","Carpinus betulus",30,8,"Cfb"
"330","Belfast","Fraxinus excelsior",112,21,"Cfb"
"331","Belfast","Pinus nigra",51,20,"Cfb"
"332","Belfast","Fagus sylvatica",99,20,"Cfb"
"333","Belfast","Fraxinus excelsior",58,18,"Cfb"
"334","Belfast","Crataegus monogyna",-61,11,"Cfb"
"335","Belfast","Pinus nigra (type)",52,17,"Cfb"
"336","Belfast","Fagus sylvatica",76,16,"Cfb"
"337","Belfast","Acer pseudoplatanus",108,22,"Cfb"
"338","Belfast","Cupressus macrocarpa",123,25,"Cfb"
"339","Belfast","Acer platanoides",94,23,"Cfb"
"340","Belfast","Tilla cordata",97,17,"Cfb"
"341","Belfast","Acer pseudoplatanus",100,26,"Cfb"
"342","Belfast","Fraxinus excelsior",118,23,"Cfb"
"343","Belfast","Fagus sylvatica",111,27,"Cfb"
"344","Belfast","Fagus sylvatica",-92,10,"Cfb"
"345","Belfast","Fagus sylvatica",93,26,"Cfb"
"346","Belfast","Acer pseudoplatanus",61,16,"Cfb"
"347","Belfast","Cupressocyparis leylandii",43,14,"Cfb"
"348","Belfast","Quercus (type)",52,9,"Cfb"
"349","Belfast","Fraxinus ornus",55,13,"Cfb"
"350","Belfast","Larix decidua",47,17,"Cfb"
"351","Belfast","Acer pseudoplatanus",-120,19,"Cfb"
"352","Belfast","Pinus sylvestris",71,20,"Cfb"
"353","Belfast","Acer pseudoplatanus",109,23,"Cfb"
"354","Belfast","Pinus sylvestris",57,24,"Cfb"
"355","Belfast","Pinus sylvestris",69,16,"Cfb"
"356","Belfast","Betula pubescens",38,17,"Cfb"
"357","Belfast","Quercus robur",52,23,"Cfb"
"358","Belfast","Tilla cordata",100,23,"Cfb"
"359","Belfast","Aesculus hippocastanum",78,14,"Cfb"
"360","Belfast","Acer pseudoplatanus",82,23,"Cfb"
"361","Belfast","Larix decidua",49,23,"Cfb"
"362","Belfast","Fraxinus excelsior",54,19,"Cfb"
"363","Belfast","Aesculus hippocastanum",70,15,"Cfb"
"364","Belfast","Larix decidua",55,23,"Cfb"
"365","Belfast","Larix decidua",46,23,"Cfb"
"366","Belfast","Fraxinus excelsior",72,28,"Cfb"
"367","Belfast","Acer platanoides",118,17,"Cfb"
"368","Belfast","Acer platanoides",92,17,"Cfb"
"369","Belfast","Acer platanoides",82,17,"Cfb"
"370","Belfast","Acer platanoides",93,17,"Cfb"
"371","Belfast","Acer platanoides",54,16,"Cfb"
"372","Belfast","Fagus sylvatica",94,20,"Cfb"
"373","Belfast","Fagus sylvatica",75,20,"Cfb"
"374","Belfast","Acer pseudoplatanus",74,20,"Cfb"
"375","Belfast","Fagus sylvatica",83,23,"Cfb"
"376","Belfast","Cupressus macrocarpa",152,19,"Cfb"
"377","Belfast","Pinus sylvestris",61,21,"Cfb"
"378","Belfast","Aesculus hippocastanum",81,17,"Cfb"
"379","Belfast","Larix decidua",52,19,"Cfb"
"380","Belfast","Picea abies",65,18,"Cfb"
"381","Belfast","Fraxinus excelsior",93,19,"Cfb"
"382","Belfast","Larix decidua",42,23,"Cfb"
"383","Belfast","Fraxinus excelsior",27,11,"Cfb"
"384","Belfast","Aesculus hippocastanum",30,9,"Cfb"
"385","Belfast","Acer pseudoplatanus",87,24,"Cfb"
"386","Belfast","Acer pseudoplatanus",135,28,"Cfb"
"387","Belfast","Acer pseudoplatanus",87,23,"Cfb"
"388","Belfast","Fagus sylvatica",40,16,"Cfb"
"389","Belfast","Acer pseudoplatanus",108,23,"Cfb"
"390","Belfast","Populus nigra",75,13,"Cfb"
"391","Belfast","Fagus sylvatica",90,22,"Cfb"
"392","Belfast","Acer pseudoplatanus",57,21,"Cfb"
"393","Belfast","Acer pseudoplatanus",96,22,"Cfb"
"394","Belfast","Pinus sylvestris",80,19,"Cfb"
"395","Belfast","Sequoiadendron sempervirens",115,38,"Cfb"
"396","Belfast","Acer pseudoplatanus",60,17,"Cfb"
"397","Belfast","Acer pseudoplatanus",76,21,"Cfb"
"398","Belfast","Acer pseudoplatanus",40,14,"Cfb"
"399","Belfast","Aesculus hippocastanum",73,22,"Cfb"
"400","Belfast","Fagus sylvatica",63,22,"Cfb"
"401","Belfast","Quercus robur",43,9,"Cfb"
"402","Belfast","Fagus sylvatica",62,17,"Cfb"
"403","Belfast","Fagus sylvatica",97,23,"Cfb"
"404","Belfast","Betula pubescens",89,15,"Cfb"
"405","Belfast","Castanea sativa",-148,22,"Cfb"
"406","Belfast","Tilla x europaea",38,11,"Cfb"
"407","Belfast","Acer pseudoplatanus",109,21,"Cfb"
"408","Belfast","Acer pseudoplatanus",36,11,"Cfb"
"409","Belfast","Fagus sylvatica",52,14,"Cfb"
"410","Belfast","Larix decidua",58,19,"Cfb"
"411","Belfast","Pinus (type)",50,16,"Cfb"
"412","Belfast","Fagus sylvatica",49,21,"Cfb"
"413","Belfast","Larix decidua",57,22,"Cfb"
"414","Belfast","Pinus sylvestris",72,18,"Cfb"
"415","Belfast","Fraxinus oxycarpa 'Raywood'",42,15,"Cfb"
"416","Belfast","Larix decidua",72,21,"Cfb"
"417","Belfast","Acer pseudoplatanus",97,22,"Cfb"
"418","Belfast","Aesculus hippocastanum",73,20,"Cfb"
"419","Belfast","Acer pseudoplatanus",57,17,"Cfb"
"420","Belfast","Tilla cordata",33,11,"Cfb"
"421","Belfast","Lodgepole Pine",70,27,"Cfb"
"422","Belfast","Pinus sylvestris",50,23,"Cfb"
"423","Belfast","Fraxinus excelsior",100,23,"Cfb"
"424","Belfast","Aesculus hippocastanum",82,27,"Cfb"
"425","Belfast","Fagus sylvatica",100,24,"Cfb"
"426","Belfast","Aesculus hippocastanum",97,20,"Cfb"
"427","Belfast","Fagus sylvatica",94,19,"Cfb"
"428","Belfast","Larix decidua",54,24,"Cfb"
"429","Belfast","Larix decidua",52,21,"Cfb"
"430","Belfast","Fagus sylvatica",137,23,"Cfb"
"431","Belfast","Fraxinus excelsior",87,22,"Cfb"
"432","Belfast","Fraxinus excelsior",80,21,"Cfb"
"433","Belfast","Aesculus hippocastanum",120,21,"Cfb"
"434","Belfast","Acer pseudoplatanus",124,18,"Cfb"
"435","Belfast","Fagus sylvatica",92,23,"Cfb"
"436","Belfast","Acer pseudoplatanus",60,14,"Cfb"
"437","Belfast","Acer pseudoplatanus",48,18,"Cfb"
"438","Belfast","Aesculus hippocastanum",56,18,"Cfb"
"439","Belfast","Fagus sylvatica",101,25,"Cfb"
"440","Belfast","Fagus sylvatica",51,23,"Cfb"
"441","Belfast","Fagus sylvatica",59,19,"Cfb"
"442","Belfast","Fagus sylvatica",124,27,"Cfb"
"443","Belfast","Larix decidua",31,13,"Cfb"
"444","Belfast","Fagus sylvatica",66,16,"Cfb"
"445","Belfast","Quercus cerris",90,20,"Cfb"
"446","Belfast","Tilla cordata",119,25,"Cfb"
"447","Belfast","Acer pseudoplatanus",99,18,"Cfb"
"448","Belfast","Fagus sylvatica",112,23,"Cfb"
